river,state
Animas,CO
"Anthracite Creek, Ruby Fork",CO
Arkansas,CO
Bear Creek,CO
Big Thompson,CO
Blue,CO
"Boulder Creek, North",CO
"Boulder Creek, South",CO
Boulder Creek,CO
Buzzard Creek,CO
"Cache La Poudre, North Fork",CO
"Cache La Poudre, South Fork",CO
Cache La Poudre,CO
Canyon Creek,CO
Castle Creek,CO
Cebolla,CO
Cimarron,CO
Clear Creek (Arkansas Tributary),CO
"Clear Creek, West Fork",CO
Clear Creek,CO
Colorado,CO
Conejos,CO
Cross Creek,CO
"Crystal, North Fork",CO
"Crystal, South Fork",CO
Crystal,CO
Daisy Creek,CO
Dolores,CO
Eagle,CO
East,CO
Elk River,CO
Escalante Creek,CO
Fish Creek,CO
Fraser,CO
Fryingpan,CO
Gore Creek,CO
Grape Creek,CO
Green,CO
Grizzly Creek,CO
Gunnison,CO
"Gunnison, North Fork",CO
Henson Creek,CO
Hermosa Creek,CO
Homestake Creek,CO
Jasper Creek,CO
Joe Wright Creek,CO
Kannah Creek,CO
Lake Creek,CO
Lake Fork Gunnison,CO
Left Hand Creek,CO
Lime Creek,CO
"Mineral Creek, South",CO
Navajo,CO
Needle Creek,CO
North Platte,CO
North Poudre Canal,CO
Oh Be Joyful Creek,CO
Piedra,CO
Piney,CO
Plateau Creek,CO
Purgatoire,CO
Rio Blanco,CO
Rio Grande,CO
Roaring Fork/fryingpan,CO
Roaring Fork,CO
Rock Creek,CO
"Saint Vrain Creek, North",CO
"Saint Vrain Creek, South",CO
"San Juan, East Fork",CO
"San Juan, West Fork",CO
San Juan,CO
San Miguel,CO
"Slate, North Fork",CO
Slate,CO
Snake River,CO
"South Platte, North Fork",CO
South Platte,CO
Sweetwater Creek,CO
Taylor River Canyon,CO
Tenmile Creek,CO
Treasure Creek,CO
Uncompahgre River,CO
Vallecito Creek,CO
"White, North Fork",CO
"White, South Fork",CO
White,CO
Williams Fork,CO
Willow Creek,CO
Wolf Creek,CO
Woods Creek,CO
Yampa,CO
Yule Creek,CO
